JOHOR
"The Straits Times, 1 June 1962, Page 6"

KELANTAN
"The Straits Times, 16 July 1962, Page 8"
"The Straits Times, 17 August 1963, Page 7"
Pilehan2 Raya Majlis Tempatan 1962: Keputusan & Perangkaan Perundian (SPR) (utilised to close the missing data for Dabong and Pauh Lima Council in the English Version of the Publication)

NEGRI SEMBILAN
"The Straits Budget, 1 August 1962, Page 5"

PERAK
"The Straits Budget, 13 June 1962, Page 17"
"The Straits Times, 29 June 1962, Page 10"
"The Straits Times, 9 July 1962, Page 5"
"The Straits Times, 22 July 1962, Page 11"
"The Straits Times, 1 August 1962, Page 6"

PAHANG
"Berita Harian, 4 July 1962, Page 2"
